Id,Sales
1,4780
857,4533
1713,4783
2569,5381
3425,1
4281,4512
5137,3882
5993,3742
6849,3460
7705,3815
8561,3674
9417,1
10273,4259
11129,4694
11985,4717
12841,4932
13697,5145
14553,5502
15409,0
16265,4272
17121,3775
17977,3594
18833,3538
19689,3416
20545,3810
21401,0
22257,4140
23113,4466
23969,4418
24825,4514
25681,4704
26537,5517
27393,1
28249,3107
29105,4032
29961,3881
30817,3554
31673,3518
32529,3851
33385,0
34241,4353
35097,4534
35953,4524
36809,4781
37665,5131
38521,5795
39377,0
40233,4186
2,8424
858,8109
1714,9034
2570,10044
3426,1
4282,4153
5138,6040
5994,5778
6850,5322
7706,5640
8562,5172
9418,1
10274,3761
11130,8052
11986,8217
12842,8418
13698,8869
14554,11425
15410,0
16266,4115
17122,6289
17978,5777
18834,5449
19690,5245
20546,5411
21402,0
22258,3826
23114,7674
23970,7689
24826,7776
25682,8385
26538,9775
27394,1
28250,3333
29106,6425
29962,6066
30818,5237
31674,5159
32530,5509
33386,1
34242,4047
35098,7464
35954,7564
36810,8081
37666,8466
38522,10064
39378,0
40234,3884
3,10131
859,9082
1715,10490
2571,12290
3427,1
4283,6245
5139,8043
5995,7807
6851,6865
7707,8065
8563,7636
9419,1
10275,5744
11131,10007
11987,9923
12843,9881
13699,11397
14555,13309
15411,0
16267,6820
17123,8830
17979,7995
18835,7412
19691,7508
20547,8004
21403,0
22259,5984
23115,9508
23971,9345
24827,9427
25683,10687
26539,12677
27395,1
28251,5279
29107,8702
29963,8644
30819,7576
31675,7911
32531,8583
33387,1
34243,6509
35099,10166
35955,10190
36811,10359
37667,11149
38523,14245
39379,0
40235,5952
4,7828
860,6860
1716,7726
2572,8875
3428,1
4284,3587
5140,5104
5996,5656
6852,4796
7708,5368
8564,5276
9420,1
10276,3178
11132,6519
11988,7592
12844,7404
13700,8402
14556,9553
15412,0
16268,3463
17124,5103
17980,5651
18836,5082
19692,4974
20548,5363
21404,0
22260,3277
23116,6114
23972,7017
24828,6654
25684,7445
26540,8628
27396,1
28252,2668
29108,5091
29964,5559
30820,4653
31676,4716
32532,5098
33388,1
34244,3387
35100,5958
35956,6764
36812,6613
37668,7373
38524,8815
39380,0
40236,3217
5,8037
861,7459
1717,8083
2573,10038
3429,1
4285,6722
5141,6571
5997,6197
6853,5731
7709,6383
8565,6428
9421,1
10277,6124
11133,8196
11989,7922
12845,8197
13701,8851
14557,10586
15413,0
16269,6576
17125,6745
17981,6190
18837,5895
19693,5728
20549,6422
21405,0
22261,6240
23117,7619
23973,7419
24829,7324
25685,8006
26541,10260
27397,1
28253,4609
29109,7427
29965,6783
30821,5732
31677,5687
32533,6360
33389,1
34245,6748
35101,7427
35957,7306
36813,7629
37669,8220
38525,10447
39381,0
40237,6296
6,6325
862,5825
1718,6401
2574,7602
3430,1
4286,4854
5142,5336
5998,4968
6854,4547
7710,5177
8566,5032
9422,1
10278,4309
11134,6092
11990,6012
12846,5700
13702,6181
14558,7651
15414,0
16270,4636
17126,5215
17982,4858
18838,4521
19694,4435
20550,4856
21406,0
22262,4271
23118,5536
23974,5315
24830,5299
25686,5806
26542,7329
27398,1
28254,3265
29110,5456
29966,5031
30822,4449
31678,4486
32534,5036
33390,0
34246,4612
35102,5698
35958,5508
36814,5600
37670,6230
38526,7572
39382,0
40238,4194
7,8803
863,8487
1719,8427
2575,9329
3431,1
4287,6121
5143,6846
5999,6810
6855,6381
